"language"	"definition"	"uralex_mng"	"mng_item"	"lgid3"	"item"	"item_UPA"	"item_IPA"	"form_set"	"cogn_set"	"borr_source"	"borr_qual"	"etym_notes"	"ref_borr"	"glossing_notes"	"general_notes"	"ref_abbr"
"Vakh-Vasyugan Khanty"	"A generic noun for 'horn', i.e. the bony pointed projection on the head of various animals."	"horn"	40	807	"ăŋət"	"ăŋət"	"ɑ̆ŋət "	3	"c"							"DEWbOstj"
"Nganasan"	"A generic noun for 'horn', i.e. the bony pointed projection on the head of various animals."	"horn"	40	901	"ŋamtə"	"ŋamtə"	"ŋɑmtə"	3	"c"							"SlNgaRus"
"Tundra Nenets"	"A generic noun for 'horn', i.e. the bony pointed projection on the head of various animals."	"horn"	40	902	"nyamt°"			3	"c"							"JurSWb"
"Selkup"	"A generic noun for 'horn', i.e. the bony pointed projection on the head of various animals."	"horn"	40	907	"āmtə"	"āmtə"	"ɑːmtə "	3	"c"							"SolkWb"
"Proto-Uralic*"	"Singular form proximal demonstrative pronoun."	"this"	41	0	"*tä"			1	"a"							"UEW, Sam88"
"South Saami"	"Singular form proximal demonstrative pronoun."	"this"	41	101	"daam, daan"			1	"a"							"NSsNdb"
"Ume Saami"	"Singular form proximal demonstrative pronoun."	"this"	41	102	"daahta"			1	"a"							"WbWlap"
"Pite Saami"	"Singular form proximal demonstrative pronoun."	"this"	41	104	"dát"			1	"a"							"EZ"
"North Saami"	"Singular form proximal demonstrative pronoun."	"this"	41	105	"dát"			1	"a"							"SSSg"
"Inari Saami"	"Singular form proximal demonstrative pronoun."	"this"	41	106	"taat"			1	"a"							"InsSSk"
"Skolt Saami"	"Singular form proximal demonstrative pronoun."	"this"	41	107	"tät"			1	"a"							"SKosSk"
"Kildin Saami"	"Singular form proximal demonstrative pronoun."	"this"	41	108	"tadt"		"tadː"	1	"a"							"WOLD"
"Standard Finnish"	"Singular form proximal demonstrative pronoun."	"this"	41	203	"tämä"		"t̪æmæ"	1	"a"							"JL"
"Karelian Proper"	"Singular form proximal demonstrative pronoun."	"this"	41	204	"tämä"			1	"a"							"KKSV"
"Veps"	"Singular form proximal demonstrative pronoun."	"this"	41	207	"ńetse"			4	"d"							"VVS"
"Ingrian"	"Singular form proximal demonstrative pronoun."	"this"	41	208	"tämä"	"tämä"	"tæmæ "	1	"a"							"InkmSk"
"Western Votic"	"Singular form proximal demonstrative pronoun."	"this"	41	209	"sē"	"sē"	"seː"	3	"c"							"VKJMS"
"Western Votic"	"Singular form proximal demonstrative pronoun."	"this"	41	209	"tò"	"tò"	"to"	6	"f"			"From *to-"				"VKJMS"
"Standard Estonian"	"Singular form proximal demonstrative pronoun."	"this"	41	210	"see"		"seː"	3	"c"							"SVSk"
"Võro South Estonian"	"Singular form proximal demonstrative pronoun."	"this"	41	211	"seo ~ sjoo"			3	"c"							"VESr"
"Courland Livonian"	"Singular form proximal demonstrative pronoun."	"this"	41	212	"se"			3	"c"							"LivWb"
"Courland Livonian"	"Singular form proximal demonstrative pronoun."	"this"	41	212	"täʾm"			1	"a"							"LivWb"
"Erzya"	"Singular form proximal demonstrative pronoun."	"this"	41	301	"tʹe"	"tʹe"	"tʲe"	1	"a"							"MordWb"
"Meadow Mari"	"Singular form proximal demonstrative pronoun."	"this"	41	401	"tə̑, tiδe"	"tə̑, tiδe"	"tə̠, tiðe "	1	"a"						"Former attr.; latter deriv."	"SMSk, TscherWb"
"Komi-Zyrian"	"Singular form proximal demonstrative pronoun."	"this"	41	501	"etaje̮"	"etaje̮"	"etɑjɤ"	2	"b"					"Comp. with ""taje̮"", which also means 'this'"		"SyrjWsch"
"Komi-Zyrian"	"Singular form proximal demonstrative pronoun."	"this"	41	501	"ta, taje̮"	"ta, taje̮"	"tɑ, tɑjɤ "	1	"a"						"Latter deriv."	"SyrjWsch"
"Komi-Permyak"	"Singular form proximal demonstrative pronoun."	"this"	41	503	"eta"	"eta"	"etɑ "	2	"b"							"KoPRSl"
"Udmurt"	"Singular form proximal demonstrative pronoun."	"this"	41	504	"ta"	"ta"	"tɑ"	1	"a"							"WotjWsch"
"Hungarian"	"Singular form proximal demonstrative pronoun."	"this"	41	601	"e, ez"			2	"b"						"Latter deriv."	"FMSz"
"Sosva Mansi"	"Singular form proximal demonstrative pronoun."	"this"	41	701	"ti"	"ti"	"ti"	1	"a"							"WogWb"
"Vakh-Vasyugan Khanty"	"Singular form proximal demonstrative pronoun."	"this"	41	807	"tim, timi ~ temi"	"tim, timi, temi"	"tim, timi, temi"	1	"a"						"Former as attribute; latter freestanding"	"DEWbOstj"
"Nganasan"	"Singular form proximal demonstrative pronoun."	"this"	41	901	"əmə"	"əmə"	"əmə "	7	"g"							"SlNgaRus"
"Tundra Nenets"	"Singular form proximal demonstrative pronoun."	"this"	41	902	"tyuku°"			5	"e"							"JurSWb"
"Selkup"	"Singular form proximal demonstrative pronoun."	"this"	41	907	"tam, tamə"	"tam, tamə"	"tɑm, tɑmə "	1	"a"						"Former attribute, latter also freestanding"	"SolkWb"
"Proto-Uralic*"	"A generic noun for the day before today."	"yesterday"	42	0	"[Not reconstructable]"			"?"	"?"							"UEW, Sam88"
"South Saami"	"A generic noun for the day before today."	"yesterday"	42	101	"jååktan"			2	"b"							"NSsNdb"
"Ume Saami"	"A generic noun for the day before today."	"yesterday"	42	102	"jukˈta"			2	"b"							"WbWlap"
"Pite Saami"	"A generic noun for the day before today."	"yesterday"	42	104	"ukto ~ iktu"			2	"b"							"EZ"
"North Saami"	"A generic noun for the day before today."	"yesterday"	42	105	"ikte"			2	"b"							"SSSg"
"Inari Saami"	"A generic noun for the day before today."	"yesterday"	42	106	"jieh't"			2	"b"							"InsSSk"
"Skolt Saami"	"A generic noun for the day before today."	"yesterday"	42	107	"jåhtta"			2	"b"							"SKosSk"
"Kildin Saami"	"A generic noun for the day before today."	"yesterday"	42	108	"jexxta"		"jexːta"	2	"b"							"WOLD"
"Standard Finnish"	"A generic noun for the day before today."	"yesterday"	42	203	"eilen"		"e̞jle̞n"	1	"a"							"JL"
"Karelian Proper"	"A generic noun for the day before today."	"yesterday"	42	204	"eklein"			1	"a"							"KKSV"
"Veps"	"A generic noun for the day before today."	"yesterday"	42	207	"eglē"			1	"a"							"VVS"
"Ingrian"	"A generic noun for the day before today."	"yesterday"	42	208	"eglen"	"eglen"	"eglen"	1	"a"							"InkmSk"
"Western Votic"	"A generic noun for the day before today."	"yesterday"	42	209	"egle"	"egle"	"egle "	1	"a"							"VKJMS"
"Standard Estonian"	"A generic noun for the day before today."	"yesterday"	42	210	"eile"		"eile"	1	"a"							"SVSk"
"Võro South Estonian"	"A generic noun for the day before today."	"yesterday"	42	211	"eeläq"			1	"a"							"VESr"
"Courland Livonian"	"A generic noun for the day before today."	"yesterday"	42	212	"eʾglə"			1	"a"							"LivWb"
"Erzya"	"A generic noun for the day before today."	"yesterday"	42	301	"iśak"	"iśak"	"iɕɑk "	3	"c"							"MordWb"
"Meadow Mari"	"A generic noun for the day before today."	"yesterday"	42	401	"teŋgeče"	"teŋgeče"	"teŋgeʧe "	4	"d"			"Comp.; ""teŋ-"" from PU *tä-, ""keče"" 'day'"				"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for the day before today."	"yesterday"	42	501	"te̮-ri̮t, te̮n-lun"	"te̮-ri̮t, te̮n-lun"	"tɤ-rɯt, tɤn-lun"	4	"d"					"Compounds"		"SyrjWsch"
"Komi-Permyak"	"A generic noun for the day before today."	"yesterday"	42	503	"te̮n"	"te̮n"	"tɤn "	4	"d"							"KoPRSl"
"Udmurt"	"A generic noun for the day before today."	"yesterday"	42	504	"tolon"	"tolon"	"tolon"	4	"d"			"From earlier compound; cf. Komi ""te̮-lun"" 'that day'"				"WotjWsch"
"Hungarian"	"A generic noun for the day before today."	"yesterday"	42	601	"tegnap"			4	"d"					"Deriv. and comp. with ""nap"" 'day'"		"FMSz"
"Sosva Mansi"	"A generic noun for the day before today."	"yesterday"	42	701	"mōl-χōtal"	"mōl-χōtal"	"moːl-χoːtɑl"	5	"e"					"Comp; ""mōl"" 'last', ""χōtal"" 'day'"		"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for the day before today."	"yesterday"	42	807	"mălakotǝl, mălaɣəl kotǝl"	"mălakotəl, mălaɣəl_kotəl"	"mɑ̆lɑkotəl, mɑ̆lɑɣəl kotəl "	5	"e"					"Comp; ""măla(ɣəl)"" 'last', ""kotǝl"" 'day'"		"DEWbOstj"
"Vakh-Vasyugan Khanty"	"A generic noun for the day before today."	"yesterday"	42	807	"munt"	"munt"	"munt "	6	"f"							"DEWbOstj"
"Nganasan"	"A generic noun for the day before today."	"yesterday"	42	901	"dʹali̮ takə̄"	"dʹali̮_takə̄"	"dʲɑlɯ tɑkəː"	4	"d"			"""Dʹali̮"" 'day' from PSmd *jälä"		"Lit. 'that (further away) day'"		"SlNgaRus"
"Tundra Nenets"	"A generic noun for the day before today."	"yesterday"	42	902	"tye-nyana"			4	"d"							"JurSWb"
"Selkup"	"A generic noun for the day before today."	"yesterday"	42	907	"tǟlʹćēlə"	"tǟlʹćēlə"	"tæːʎʨeːlə "	4	"d"			"""Ćēlə"" 'day' from PSmd *jälä"				"SolkWb"
"Proto-Uralic*"	"A generic adjective for the color black."	"black"	43	0	"[Not reconstructable]"			"?"	"?"							"UEW, Sam88"
"South Saami"	"A generic adjective for the color black."	"black"	43	101	"tjeehpes"			2	"b"							"NSsNdb"
"Ume Saami"	"A generic adjective for the color black."	"black"	43	102	"tjååhpada ~ tjaahpada"			2	"b"							"WbWlap"
"Pite Saami"	"A generic adjective for the color black."	"black"	43	104	"tjáhpat"			2	"b"							"EZ"
"North Saami"	"A generic adjective for the color black."	"black"	43	105	"čáhppat"			2	"b"							"SSSg"
"Inari Saami"	"A generic adjective for the color black."	"black"	43	106	"čappad"			2	"b"							"InsSSk"
"Skolt Saami"	"A generic adjective for the color black."	"black"	43	107	"čappâd"			2	"b"							"SKosSk"
"Kildin Saami"	"A generic adjective for the color black."	"black"	43	108	"čoahpe"		"tʃɒːhpe"	2	"b"							"WOLD"
"Standard Finnish"	"A generic adjective for the color black."	"black"	43	203	"musta"		"mustɑ"	1	"a"	"Germanic"	"possible"	"Narrow distribution suggests loan origin. LÄGLOS: possibly Ger origin Balt proposed, but rejected"	"LÄGLOS, SSA, NES, EES, Junttila2015"			"JL"
"Karelian Proper"	"A generic adjective for the color black."	"black"	43	204	"musta"			1	"a"	"Germanic"	"possible"	"Narrow distribution suggests loan origin. LÄGLOS: possibly Ger origin Balt proposed, but rejected"	"LÄGLOS, SSA, NES, EES, Junttila2015"			"KKSV"
"Veps"	"A generic adjective for the color black."	"black"	43	207	"must"			1	"a"	"Germanic"	"possible"	"Narrow distribution suggests loan origin. LÄGLOS: possibly Ger origin Balt proposed, but rejected"	"LÄGLOS, SSA, NES, EES, Junttila2015"			"VVS"
"Ingrian"	"A generic adjective for the color black."	"black"	43	208	"musta"	"musta"	"mustɑ"	1	"a"	"Germanic"	"possible"	"Narrow distribution suggests loan origin. LÄGLOS: possibly Ger origin Balt proposed, but rejected"	"LÄGLOS, SSA, NES, EES, Junttila2015"			"InkmSk"
"Western Votic"	"A generic adjective for the color black."	"black"	43	209	"mus̄"	"mus̄"	"mus "	1	"a"	"Germanic"	"possible"	"Narrow distribution suggests loan origin. LÄGLOS: possibly Ger origin Balt proposed, but rejected"	"LÄGLOS, SSA, NES, EES, Junttila2015"			"VKJMS"
"Standard Estonian"	"A generic adjective for the color black."	"black"	43	210	"must"		"must"	1	"a"	"Germanic"	"possible"	"Narrow distribution suggests loan origin. LÄGLOS: possibly Ger origin Balt proposed, but rejected"	"LÄGLOS, SSA, NES, EES, Junttila2015"			"SVSk"
"Võro South Estonian"	"A generic adjective for the color black."	"black"	43	211	"must"			1	"a"	"Germanic"	"possible"	"Narrow distribution suggests loan origin. LÄGLOS: possibly Ger origin Balt proposed, but rejected"	"LÄGLOS, SSA, NES, EES, Junttila2015"			"VESr"
"Courland Livonian"	"A generic adjective for the color black."	"black"	43	212	"muštà ~ mustà"			1	"a"	"Germanic"	"possible"	"Narrow distribution suggests loan origin. LÄGLOS: possibly Ger origin Balt proposed, but rejected"	"LÄGLOS, SSA, NES, EES, Junttila2015"			"LivWb"
"Erzya"	"A generic adjective for the color black."	"black"	43	301	"raužo"	"raužo"	"rɑuʒo"	3	"c"							"MordWb"
"Meadow Mari"	"A generic adjective for the color black."	"black"	43	401	"šeme, šem"	"šeme, šem"	"ʃeme, ʃem "	4	"d"						"Latter attr.; from PFP *simV 'rust'"	"SMSk, TscherWb"
"Komi-Zyrian"	"A generic adjective for the color black."	"black"	43	501	"śe̮d"	"śe̮d"	"ɕɤd"	5	"e"							"SyrjWsch"
"Komi-Permyak"	"A generic adjective for the color black."	"black"	43	503	"śe̮d"	"śe̮d"	"ɕɤd"	5	"e"							"KoPRSl"
"Udmurt"	"A generic adjective for the color black."	"black"	43	504	"śe̮d"	"śe̮d"	"ɕɤd"	5	"e"							"WotjWsch"
"Hungarian"	"A generic adjective for the color black."	"black"	43	601	"fekete"			6	"f"							"FMSz"
"Sosva Mansi"	"A generic adjective for the color black."	"black"	43	701	"sēməl"	"sēməl"	"seːməl"	4	"d"			"From PFP *simV 'rust'"				"WogWb"
"Vakh-Vasyugan Khanty"	"A generic adjective for the color black."	"black"	43	807	"pəɣtə"	"pəɣtə"	"pəɣtə"	6	"f"					"'Black, dirty'"		"DEWbOstj"
"Nganasan"	"A generic adjective for the color black."	"black"	43	901	"tusajkaˀa"	"tusajkaˀa"	"tusɑjkɑʔɑ"	9	"i"							"SlNgaRus"
"Tundra Nenets"	"A generic adjective for the color black."	"black"	43	902	"pəryidye°"			7	"g"					"'Be black (v.)'"		"JurSWb"
"Selkup"	"A generic adjective for the color black."	"black"	43	907	"sǟqə"	"sǟqə"	"sæːqə "	8	"h"							"SolkWb"
"Proto-Uralic*"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	0	"*juxi̮"			1	"a"			"Indo-Iranian loan etymology rejected in Holopainen2019"				"UEW, Sam88"
"South Saami"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	101	"jovkedh"			1	"a"							"NSsNdb"
"Ume Saami"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	102	"juuhkat"			1	"a"							"WbWlap"
"Pite Saami"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	104	"juhkat"			1	"a"							"EZ"
"North Saami"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	105	"juhkat"			1	"a"							"SSSg"
"Inari Saami"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	106	"juuhađ"			1	"a"							"InsSSk"
"Skolt Saami"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	107	"juukkâd"			1	"a"							"SKosSk"
"Kildin Saami"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	108	"jugke"		"jugːe"	1	"a"							"WOLD"
"Standard Finnish"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	203	"juoda"		"juo̯dɑ"	1	"a"							"JL"
"Karelian Proper"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	204	"juuva"			1	"a"							"KKSV"
"Veps"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	207	"joda"			1	"a"							"VVS"
"Ingrian"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	208	"jōvva"	"jōvva"	"joːvːɑ"	1	"a"							"InkmSk"
"Western Votic"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	209	"jūma"	"jūma"	"juːmɑ "	1	"a"							"VKJMS"
"Standard Estonian"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	210	"juua"		"juːɑ "	1	"a"							"SVSk"
"Võro South Estonian"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	211	"juuma"			1	"a"							"VESr"
"Courland Livonian"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	212	"jùodə"			1	"a"							"LivWb"
"Erzya"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	301	"śimems"	"śimems"	"ɕimems"	2	"b"			"Cogn. with Fin ""siemaista"" 'gulp, swig'"				"MordWb"
"Meadow Mari"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	401	"jüam"	"jüam"	"jyɑm "	1	"a"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	501	"juni̮"	"juni̮"	"junɯ "	1	"a"							"SyrjWsch"
"Komi-Permyak"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	503	"juni̮"	"juni̮"	"junɯ "	1	"a"							"KoPRSl"
"Udmurt"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	504	"jui̮ni̮"	"jui̮ni̮"	"juɯnɯ"	1	"a"							"WotjWsch"
"Hungarian"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	601	"iszik"			1	"a"							"FMSz"
"Sosva Mansi"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	701	"aji"	"aji"	"ɑji "	1	"a"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	807	"jäńtʹ-"	"jäńtʹ-"	"jæɲtʲ-"	1	"a"							"DEWbOstj"
"Vakh-Vasyugan Khanty"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	807	"li-"	"li-"	"li- "	5	"e"					"'Eat, drink, burn (tr.)'"		"DEWbOstj"
"Nganasan"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	901	"bi̮ti̮dʹi"	"bi̮ti̮dʹi"	"bɯtɯdʲi"	4	"d"			"Deriv. from PSd *wet 'water'"				"SlNgaRus"
"Tundra Nenets"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	902	"ŋercy°"			3	"c"							"JurSWb"
"Selkup"	"A generic transitive verb denoting the consumption of a liquid."	"drink"	44	907	"ütə-"	"ütə-"	"ytə- "	4	"d"			"Deriv. from PSd *wet 'water'"				"SolkWb"
"Proto-Uralic*"	"A generic noun for the navel or the belly button."	"navel"	45	0	"[Not reconstructable]"			"?"	"?"							"UEW, Sam88"
"South Saami"	"A generic noun for the navel or the belly button."	"navel"	45	101	"naepie"			1	"g"	"Finnic"	"clear"		"Lehtiranta1989, SSA"			"NSsNdb"
"Ume Saami"	"A generic noun for the navel or the belly button."	"navel"	45	102	"naahpee"			1	"g"	"Finnic"	"clear"		"Lehtiranta1989, SSA"			"WbWlap"
"Pite Saami"	"A generic noun for the navel or the belly button."	"navel"	45	104	"náhpe"			1	"g"	"Finnic"	"clear"		"Lehtiranta1989, SSA"			"EZ"
"North Saami"	"A generic noun for the navel or the belly button."	"navel"	45	105	"náhpi"			1	"g"	"Finnic"	"clear"		"Sammallahti1998Lehtiranta1989, SSA"			"SSSg"
"Inari Saami"	"A generic noun for the navel or the belly button."	"navel"	45	106	"nääpi"			1	"g"	"Finnic"	"clear"		"Lehtiranta1989, SSA"			"InsSSk"
"Skolt Saami"	"A generic noun for the navel or the belly button."	"navel"	45	107	"nääʹpp"			1	"g"	"Finnic"	"clear"		"Lehtiranta1989, SSA"			"SKosSk"
"Kildin Saami"	"A generic noun for the navel or the belly button."	"navel"	45	108	"nābp’"		"naːbːʲ"	1	"g"	"Finnic"	"clear"		"Rießler2009"			"WOLD"
"Standard Finnish"	"A generic noun for the navel or the belly button."	"navel"	45	203	"napa"		"nɑpɑ"	1	"a"	"Germanic_or_Baltic"	"possible"	"Balt, cf. Latv ""naba"" 'navel, shaft pole'; or Ger, cf. ON ""nǫf"" 'nave'"	"SSA, NES, EES"			"JL"
"Karelian Proper"	"A generic noun for the navel or the belly button."	"navel"	45	204	"napa"			1	"a"	"Germanic_or_Baltic"	"possible"	"Balt, cf. Latv ""naba"" 'navel, shaft pole'; or Ger, cf. ON ""nǫf"" 'nave'"	"SSA, NES, EES"			"KKSV"
"Veps"	"A generic noun for the navel or the belly button."	"navel"	45	207	"naba"			1	"a"	"Germanic_or_Baltic"	"possible"	"Balt, cf. Latv ""naba"" 'navel, shaft pole'; or Ger, cf. ON ""nǫf"" 'nave'"	"SSA, NES, EES"			"VVS"
"Ingrian"	"A generic noun for the navel or the belly button."	"navel"	45	208	"naʙa"	"naʙa"	"nɑb̥ɑ "	1	"a"	"Germanic_or_Baltic"	"possible"	"Balt, cf. Latv ""naba"" 'navel, shaft pole'; or Ger, cf. ON ""nǫf"" 'nave'"	"SSA, NES, EES"			"InkmSk"
"Western Votic"	"A generic noun for the navel or the belly button."	"navel"	45	209	"napa"	"napa"	"nɑpɑ "	1	"a"	"Germanic_or_Baltic"	"possible"	"Balt, cf. Latv ""naba"" 'navel, shaft pole'; or Ger, cf. ON ""nǫf"" 'nave'"	"SSA, NES, EES"			"VKJMS"
"Standard Estonian"	"A generic noun for the navel or the belly button."	"navel"	45	210	"naba"		"nɑpɑ "	1	"a"	"Germanic_or_Baltic"	"possible"	"Balt, cf. Latv ""naba"" 'navel, shaft pole'; or Ger, cf. ON ""nǫf"" 'nave'"	"SSA, NES, EES"			"SVSk"
"Võro South Estonian"	"A generic noun for the navel or the belly button."	"navel"	45	211	"naba"			1	"a"	"Germanic_or_Baltic"	"possible"	"Balt, cf. Latv ""naba"" 'navel, shaft pole'; or Ger, cf. ON ""nǫf"" 'nave'"	"SSA, NES, EES"			"VESr"
"Courland Livonian"	"A generic noun for the navel or the belly button."	"navel"	45	212	"nabà"			1	"a"	"Germanic_or_Baltic"	"possible"	"Balt, cf. Latv ""naba"" 'navel, shaft pole'; or Ger, cf. ON ""nǫf"" 'nave'"	"SSA, NES, EES"			"LivWb"
"Erzya"	"A generic noun for the navel or the belly button."	"navel"	45	301	"počo"	"počo"	"poʧo "	2	"b"							"MordWb"
"Meadow Mari"	"A generic noun for the navel or the belly button."	"navel"	45	401	"kə̑lə̑mde"	"kə̑lə̑mde"	"kə̠lə̠mde"	3	"c"	"Tatar"	"possible"		"TscherWb"			"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for the navel or the belly button."	"navel"	45	501	"ge̮g"	"ge̮g"	"gɤg "	4	"d"							"SyrjWsch"
"Komi-Permyak"	"A generic noun for the navel or the belly button."	"navel"	45	503	"ge̮g"	"ge̮g"	"gɤg "	4	"d"							"KoPRSl"
"Udmurt"	"A generic noun for the navel or the belly button."	"navel"	45	504	"gogi̮"	"gogi̮"	"gogɯ "	4	"d"							"WotjWsch"
"Hungarian"	"A generic noun for the navel or the belly button."	"navel"	45	601	"köldök"			5	"h"	"West Old Turkic"	"clear"	"Probably loan from Turkic *kin- (”kindik” etc.); earliest attested form ”keldek”"	"WOT"			"FMSz"
"Sosva Mansi"	"A generic noun for the navel or the belly button."	"navel"	45	701	"pukńi"	"pukńi"	"pukɲi"	6	"f"			"Deriv. from PFU *pükkV 'navel'"				"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for the navel or the belly button."	"navel"	45	807	"pö̆ɣḷəŋ"	"pö̆ɣḷəŋ"	"pø̆ɣɭəŋ"	6	"f"			"Deriv. from PFU *pükkV 'navel'"				"DEWbOstj"
"Nganasan"	"A generic noun for the navel or the belly button."	"navel"	45	901	"kīŋ"	"kīŋ"	"kiːŋ "	5	"e"	"Turkic"	"clear"		"Lehtisalo 1956"			"SlNgaRus"
"Tundra Nenets"	"A generic noun for the navel or the belly button."	"navel"	45	902	"syúh"			5	"e"	"Turkic"	"clear"		"JurSWb"			"JurSWb"
"Selkup"	"A generic noun for the navel or the belly button."	"navel"	45	907	"śȫń"	"śȫń"	"ɕøːɲ "	5	"e"	"Turkic"	"clear"		"SolkWb"			"SolkWb"
"Proto-Uralic*"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	0	"[Not reconstructable]"			"?"	"?"			"PFU: *salkV-, *saŋća-"				"UEW, Sam88"
"South Saami"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	101	"tjåadtjodh"			1	"a"							"NSsNdb"
"Ume Saami"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	102	"tjuadˈtjoot"			1	"a"							"WbWlap"
"Pite Saami"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	104	"tjuadtjut"			1	"a"							"EZ"
"North Saami"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	105	"čuožžut"			1	"a"							"SSSg"
"Inari Saami"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	106	"čuáž'žuđ"			1	"a"							"InsSSk"
"Skolt Saami"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	107	"čuẹǯ’ǯad"			1	"a"							"SKosSk"
"Kildin Saami"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	108	"čuennče"		"tʃuenːtʃe"	1	"a"							"WOLD"
"Standard Finnish"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	203	"seisoa ~ seistä"		"se̞jso̞ɑ ~ se̞jst̪æ"	1	"a"							"JL"
"Karelian Proper"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	204	"seisuo"			1	"a"							"KKSV"
"Veps"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	207	"seišta"			1	"a"							"VVS"
"Ingrian"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	208	"seissä"	"seissä"	"seisːæ"	1	"a"							"InkmSk"
"Western Votic"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	209	"seisoma"	"seisoma"	"seisomɑ "	1	"a"							"VKJMS"
"Standard Estonian"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	210	"seista"		"seistɑ "	1	"a"							"SVSk"
"Võro South Estonian"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	211	"saisma"			1	"a"							"VESr"
"Courland Livonian"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	212	"pīlə"			2	"b"							"LivWb"
"Erzya"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	301	"aštʹems śtʹado"	"aštʹems_śtʹado"	"ɑʃtʲems ɕtʲɑdo"	1	"a"					"Lit. 'be standing'"		"MordWb"
"Meadow Mari"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	401	"šoɣem"	"šoɣem"	"ʃoɣem"	3	"c"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	501	"sulavni̮"	"sulavni̮"	"sulɑvnɯ "	3	"c"							"SyrjWsch"
"Komi-Permyak"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	503	"sulavni̮"	"sulavni̮"	"sulɑvnɯ "	3	"c"							"KoPRSl"
"Udmurt"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	504	"si̮li̮ni̮"	"si̮li̮ni̮"	"sɯlɯnɯ"	3	"c"							"WotjWsch"
"Hungarian"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	601	"áll"			3	"c"							"FMSz"
"Sosva Mansi"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	701	"lʹūlʹi"	"lʹūlʹi"	"ʎuːʎi "	4	"d"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."	"stand"	46	807	"lalʹ-"	"lalʹ-"	"lɑʎ- "	4	"d"							"DEWbOstj"
